customer_state,deliver_year,deliver_month,total_orders,avg_delivery_days
CE,2018,4,112,25
BA,2018,4,230,23.15909091
CE,2018,5,115,21.76923077
BA,2018,3,218,20.59259259
PE,2018,1,113,20.55963303
ES,2018,4,151,20.31081081
PE,2017,9,106,20.15
BA,2018,6,229,20.06637168
BA,2017,5,129,20.056
RS,2018,1,341,20.04255319
BA,2018,1,242,19.95689655
BA,2018,2,177,19.8150289
RJ,2018,1,902,19.73491124
PE,2018,3,108,19.67961165
RS,2018,2,288,19.60498221
RJ,2018,4,1062,19.59916493
BA,2018,5,252,19.5204918
SC,2018,2,251,19.50813008
PE,2018,4,109,19.4950495
SC,2018,3,291,19.36619718
BA,2017,10,181,19.32044199
RS,2018,3,402,19.22222222
RJ,2018,3,745,18.98730606
GO,2018,4,141,18.96428571
GO,2018,3,149,18.55102041
BA,2017,12,216,18.32407407
ES,2017,12,149,18.2147651
PE,2017,12,108,18.19626168
PE,2018,2,102,18.16666667
PE,2018,5,124,18.1
BA,2017,11,152,18.00657895
RS,2018,4,477,17.99571734
ES,2018,3,125,17.85365854
GO,2018,1,165,17.67701863
SC,2018,1,240,17.66101695
DF,2018,3,165,17.52439024
ES,2018,1,140,17.44927536
RJ,2017,12,875,17.15898618
BA,2017,7,110,17.14814815
BA,2017,8,168,17.11377246
GO,2017,12,150,16.94666667
GO,2018,2,111,16.90909091
RJ,2018,2,733,16.81612447
PE,2018,6,119,16.6754386
RS,2017,12,363,16.59833795
SC,2017,12,255,16.57254902
ES,2018,5,170,16.10240964
SC,2018,4,280,16.02898551
DF,2018,2,118,16.01694915
ES,2018,2,125,15.90243902
BA,2018,7,232,15.75982533
BA,2017,6,108,15.70093458
ES,2018,6,117,15.57758621
RS,2017,9,271,15.41044776
MG,2018,4,958,15.17121849
MG,2018,3,763,15.12285337
DF,2018,4,173,14.8245614
SC,2017,5,155,14.78431373
GO,2018,6,107,14.76415094
DF,2017,12,168,14.60714286
SC,2017,6,133,14.46616541
RS,2017,11,248,14.41869919
RS,2018,6,312,14.41157556
MG,2017,12,1003,14.40677966
PR,2018,3,369,14.27717391
PR,2018,2,318,14.2721519
RS,2017,3,139,14.25899281
PR,2017,12,357,14.16806723
BA,2017,9,141,14.05925926
PR,2018,1,330,14.02439024
RS,2017,10,274,14.00729927
ES,2017,11,102,13.94117647
SC,2017,11,186,13.8172043
MG,2018,2,705,13.80626781
SC,2017,9,145,13.78472222
SC,2018,6,240,13.75313808
GO,2018,5,164,13.57926829
RS,2017,4,126,13.432
ES,2017,10,106,13.42857143
RJ,2018,5,991,13.41271552
PR,2017,3,135,13.38059701
DF,2018,1,134,13.16666667
BA,2018,8,288,13.16254417
SC,2017,8,155,12.96103896
SC,2017,10,168,12.95238095
DF,2017,11,104,12.85576923
RJ,2017,5,520,12.82205029
RS,2017,8,270,12.72962963
RS,2018,5,380,12.68
RJ,2017,11,615,12.66939444
MG,2018,1,772,12.52031455
RJ,2018,6,813,12.51307597
PR,2018,4,425,12.46919431
PE,2018,8,137,12.46666667
RS,2017,5,201,12.40298507
RS,2017,7,203,12.24630542
SC,2017,7,124,12.18032787
RJ,2017,10,644,12.15396579
ES,2018,7,128,12.03937008
PR,2018,6,350,12.03438395
RJ,2017,8,564,11.96964286
MG,2017,7,405,11.86419753
RJ,2017,7,485,11.83677686
RS,2017,6,216,11.80465116
PR,2017,11,225,11.79111111
RJ,2017,9,531,11.76996198
PR,2017,10,192,11.75
RJ,2017,6,390,11.68911917
PR,2017,6,177,11.58757062
DF,2018,6,162,11.52469136
MG,2017,3,329,11.50759878
MG,2017,4,252,11.5
PE,2018,7,107,11.48113208
PR,2017,5,211,11.44075829
ES,2018,8,155,11.42580645
MG,2018,6,827,11.33212121
RJ,2017,4,241,11.29288703
GO,2018,8,155,11.27922078
MG,2017,6,364,11.14285714
SC,2018,5,241,11.125
MG,2017,5,414,11.10948905
MG,2017,11,511,11.07254902
PR,2017,9,163,11.02453988
GO,2018,7,119,10.99159664
RJ,2017,2,209,10.625
MG,2017,2,192,10.61458333
RJ,2017,3,339,10.60714286
PR,2017,7,160,10.5875
RS,2018,8,402,10.40100251
SP,2018,3,2992,10.30985915
SP,2017,5,1454,10.29232896
SP,2017,12,3075,10.27897135
MG,2017,9,488,10.27479339
RS,2018,7,317,10.23343849
DF,2018,5,151,10.20529801
MG,2018,5,758,10.18459495
MG,2017,8,460,10.18340611
SP,2018,2,2510,10.18
MG,2017,10,538,10.09851301
PR,2018,5,313,9.944805195
PR,2017,8,248,9.923387097
SP,2017,4,709,9.736916549
RJ,2018,7,651,9.734883721
SC,2018,8,257,9.587548638
SP,2018,1,2610,9.555598456
SP,2017,3,932,9.36598493
DF,2018,8,206,9.253658537
RJ,2018,8,959,8.991623037
SC,2018,7,201,8.955223881
SP,2018,4,3295,8.893934776
SP,2017,6,1270,8.831886346
DF,2018,7,137,8.737226277
SP,2017,2,536,8.669776119
PR,2018,8,405,8.448019802
SP,2017,11,1978,8.327586207
SP,2017,10,1743,8.307118255
SP,2017,7,1467,8.299658703
PR,2018,7,319,8.172413793
MG,2018,7,664,8.030120482
MG,2018,8,867,8.002309469
SP,2018,6,3076,7.873533246
SP,2017,9,1500,7.669117647
SP,2017,1,121,7.661157025
SP,2017,8,1748,7.377218088
SP,2018,5,3004,6.794657763
SP,2018,8,3859,6.565724656
SP,2018,7,2500,6.454108216
