seller_id,seller_zip_code_prefix,seller_city,seller_state,total_orders,avg_carrier_received_early_days,earliest_orders,late_orders,early_rate,late_rate,fast_rank
0b90b6df587eb83608a64ea8b390cf07,87025,maringa,PR,209,8.703349282,198,5,0.947,0.024,1
00fc707aaaad2d31347cf883cd2dfe10,87025,maringa,PR,135,8.548148148,135,0,1,0,2
12b9676b00f60f3b700e83af21824c0e,95780,montenegro,RS,133,8.393939394,132,1,0.992,0.008,3
95e03ca3d4146e4011985981aeb959b9,21210,rio de janeiro,RJ,190,8.105820106,189,0,0.995,0,4
ca3bd7cd9f149df75950150d010fe4a2,4361,sao paulo,SP,135,7.762295082,121,10,0.896,0.074,5
18a349e75d307f4b4cc646a691ed4216,1319,sao paulo,SP,128,7.024193548,122,5,0.953,0.039,6
612170e34b97004b3ba37eae81836b4c,93542,novo hamburgo,RS,110,6.805555556,106,1,0.964,0.009,7
ceaec5548eefc6e23e6607c5435102e7,3821,sao paulo,SP,206,6.556097561,194,1,0.942,0.005,8
b4ffb71f0cb1b1c3d63fad021ecf93e1,3880,sao paulo,SP,164,6.237804878,160,2,0.976,0.012,9
c3cfdc648177fdbbbb35635a37472c53,80610,curitiba,PR,307,6.237785016,300,2,0.977,0.007,10
