seller_id,seller_zip_code_prefix,seller_city,seller_state,total_orders,avg_carrier_received_early_days,earliest_orders,late_orders,early_rate,late_rate,slow_rank
a49928bcdf77c55c6d6e05e09a9b4ca5,3017,sao paulo,SP,104,-0.010416667,46,45,0.442,0.433,1
b14db04aa7881970e83ffa9426897925,18048,sorocaba,SP,105,0.619047619,37,5,0.352,0.048,2
1ca7077d890b907f89be8c954a02686a,6506,santana de parnaiba,SP,127,0.622047244,58,44,0.457,0.346,3
f4aba7c0bca51484c30ab7bdc34bcdd1,1031,sao paulo,SP,115,0.701754386,58,37,0.504,0.322,4
8e6d7754bc7e0f22c96d255ebda59eba,12233,sao jose dos campos,SP,129,0.84,64,56,0.496,0.434,5
827f8f69dfa529c561901c4f2e0f332f,81880,curitiba,PR,104,1.14,60,23,0.577,0.221,6
4c2b230173bb36f9b240f2b8ac11786e,3933,sao paulo,SP,343,1.148688047,199,44,0.58,0.128,7
7aa4334be125fcdd2ba64b3180029f14,18500,laranjal paulista,SP,237,1.153508772,135,64,0.57,0.27,8
b1fc4f64df5a0e8b6913ab38803c57a9,24440,sao goncalo,RJ,121,1.157024793,67,27,0.554,0.223,9
8160255418d5aaa7dbdc9f4c64ebda44,14940,ibitinga,SP,424,1.316037736,293,105,0.691,0.248,10
